id,url,title,source,source_url,start,speakers,audio
loc_afccal000001_speech_by_fiorello_h_la_guardia_excerpt_06-54,https://www.loc.gov/item/afccal000001,"Speech by Fiorello H. La Guardia, New York",Library of Congress,https://loc.gov,6:54,Fiorello H. La Guardia,loc_afccal000001_speech_by_fiorello_h_la_guardia_excerpt_06-54.wav
loc_afccal000004_speech_by_amelia_earhart_excerpt_03-00,https://www.loc.gov/item/afccal000004,Speech by Amelia Earhart,Library of Congress,https://loc.gov,3:00,Amelia Earhart,loc_afccal000004_speech_by_amelia_earhart_excerpt_03-00.wav
